date,open,high,low,close,volume
2022-02-21 00:00:00+05:30,389.15,394.6,381.5,392.3,1569988
2022-02-22 00:00:00+05:30,386.0,394.45,370.55,380.0,2316833
2022-02-23 00:00:00+05:30,378.0,410.75,375.85,407.8,8360203
2022-02-24 00:00:00+05:30,400.25,419.55,394.4,405.5,7089213
2022-02-25 00:00:00+05:30,416.0,423.6,407.3,417.35,3597759
2022-02-28 00:00:00+05:30,415.0,430.75,411.05,428.5,2665823
2022-03-02 00:00:00+05:30,426.7,431.45,404.45,407.45,2314459
2022-03-03 00:00:00+05:30,407.45,414.2,398.6,401.15,2269283
2022-03-04 00:00:00+05:30,399.3,399.5,383.5,388.95,2986658
2022-03-07 00:00:00+05:30,384.0,385.5,372.5,376.0,1806681
2022-03-08 00:00:00+05:30,379.5,388.2,372.35,386.5,1206284
2022-03-09 00:00:00+05:30,393.5,393.5,380.65,384.85,1351764
2022-03-10 00:00:00+05:30,390.0,404.15,389.15,399.2,1724745
2022-03-11 00:00:00+05:30,399.2,404.65,393.75,403.7,1664103
2022-03-14 00:00:00+05:30,405.0,412.15,402.0,404.6,863665
2022-03-15 00:00:00+05:30,405.0,406.25,384.75,393.05,2742566
2022-03-16 00:00:00+05:30,398.25,402.2,386.2,393.5,1475668
2022-03-17 00:00:00+05:30,396.0,400.3,386.6,390.5,3219413
2022-03-21 00:00:00+05:30,394.1,397.5,386.4,394.2,1586950
2022-03-22 00:00:00+05:30,393.0,394.15,380.55,387.3,2203247
2022-03-23 00:00:00+05:30,389.3,392.8,384.5,386.75,1913969
2022-03-24 00:00:00+05:30,384.95,387.8,375.6,378.25,2043527
2022-03-25 00:00:00+05:30,378.85,379.0,366.55,374.55,1918113
2022-03-28 00:00:00+05:30,377.8,378.45,366.6,367.4,989205
2022-03-29 00:00:00+05:30,365.0,380.3,363.1,376.55,2642696
2022-03-30 00:00:00+05:30,379.8,382.95,365.6,372.5,1431246
2022-03-31 00:00:00+05:30,374.0,377.5,370.55,374.0,1350553
2022-04-01 00:00:00+05:30,375.9,378.95,370.45,372.9,1901520
2022-04-04 00:00:00+05:30,376.9,382.25,372.05,374.45,1271655
2022-04-05 00:00:00+05:30,377.0,383.9,374.4,380.7,2891060
2022-04-06 00:00:00+05:30,380.6,388.45,377.25,382.2,1929072
2022-04-07 00:00:00+05:30,380.1,383.3,374.5,375.65,2241314
2022-04-08 00:00:00+05:30,378.4,379.95,374.75,375.75,1207518
2022-04-11 00:00:00+05:30,375.75,384.45,372.0,382.8,1429603
2022-04-12 00:00:00+05:30,383.6,384.1,377.0,378.2,1982748
2022-04-13 00:00:00+05:30,380.5,381.6,375.3,377.9,1593137
2022-04-18 00:00:00+05:30,378.85,384.6,369.05,377.15,1655533
2022-04-19 00:00:00+05:30,382.0,383.2,370.15,374.2,1654617
2022-04-20 00:00:00+05:30,375.0,383.0,372.5,377.3,1667469
2022-04-21 00:00:00+05:30,380.0,386.9,379.5,380.8,3073721
2022-04-22 00:00:00+05:30,381.0,384.25,375.45,379.25,1320813
2022-04-25 00:00:00+05:30,378.0,378.0,365.6,371.55,1252431
2022-04-26 00:00:00+05:30,375.0,376.45,371.6,374.15,1642636
2022-04-27 00:00:00+05:30,374.0,375.45,368.2,374.15,632259
2022-04-28 00:00:00+05:30,375.0,383.7,374.0,382.0,1985564
2022-04-29 00:00:00+05:30,382.05,386.0,379.05,384.8,1628858
2022-05-02 00:00:00+05:30,382.4,385.2,377.45,378.55,866725
2022-05-04 00:00:00+05:30,380.95,381.8,367.55,369.55,1739035
2022-05-05 00:00:00+05:30,371.5,373.8,364.85,367.15,571846
2022-05-06 00:00:00+05:30,363.9,367.0,355.5,365.0,778207
2022-05-09 00:00:00+05:30,360.4,364.0,354.6,357.95,681180
2022-05-10 00:00:00+05:30,357.9,357.9,339.1,345.55,2033839
2022-05-11 00:00:00+05:30,349.0,364.75,344.55,362.9,3836705
2022-05-12 00:00:00+05:30,359.9,360.85,337.0,345.85,2308056
2022-05-13 00:00:00+05:30,348.05,357.5,348.05,353.0,1566459
2022-05-16 00:00:00+05:30,348.0,361.1,347.3,351.85,575122
2022-05-17 00:00:00+05:30,353.7,354.75,346.15,349.65,2190864
2022-05-18 00:00:00+05:30,352.0,355.3,348.05,348.9,493088
2022-05-19 00:00:00+05:30,344.5,348.4,332.7,336.2,1173810
2022-05-20 00:00:00+05:30,339.7,343.6,338.5,342.3,620217
2022-05-23 00:00:00+05:30,343.7,346.6,338.65,340.55,855836
2022-05-24 00:00:00+05:30,340.5,341.85,335.0,336.4,516074
2022-05-25 00:00:00+05:30,336.6,339.2,326.0,328.4,1031618
2022-05-26 00:00:00+05:30,330.1,331.8,323.5,330.35,692899
2022-05-27 00:00:00+05:30,333.0,334.15,324.55,327.75,739127
2022-05-30 00:00:00+05:30,330.5,357.35,330.5,351.6,4435368
2022-05-31 00:00:00+05:30,353.4,368.0,351.1,361.45,2771435
2022-06-01 00:00:00+05:30,358.25,365.95,356.2,362.35,1145202
2022-06-02 00:00:00+05:30,362.35,373.0,358.0,369.05,2388671
2022-06-03 00:00:00+05:30,372.6,378.6,361.3,364.4,2531015
2022-06-06 00:00:00+05:30,364.3,368.4,358.05,364.1,762438
2022-06-07 00:00:00+05:30,363.8,363.8,355.5,359.5,430569
2022-06-08 00:00:00+05:30,360.0,361.3,350.2,351.25,752855
2022-06-09 00:00:00+05:30,349.55,353.45,344.5,345.45,1292446
2022-06-10 00:00:00+05:30,345.0,347.0,339.6,340.7,689162
2022-06-13 00:00:00+05:30,337.0,337.0,324.4,327.5,1251977
2022-06-14 00:00:00+05:30,323.0,324.55,315.6,317.45,2921122
2022-06-15 00:00:00+05:30,317.7,320.7,313.35,316.4,2006916
2022-06-16 00:00:00+05:30,320.15,330.0,315.9,318.05,1852663
2022-06-17 00:00:00+05:30,316.0,326.05,312.0,323.55,1668515
